Date,spy,baseline,optimized,spy_vami,baseline_vami,optimized_vami
11/1/18,0.010641836,2.36555E-05,-0.011952388,1000,1000,1000
11/2/18,-0.005923001,-0.000786749,-0.010091941,994.076999,999.2132513,989.9080595
11/5/18,0.005516937,0.000878703,0.009296638,999.5612592,1000.091263,999.1108763
11/6/18,0.006327956,0.000351333,-0.001790313,1005.886439,1000.442628,997.3221553
11/7/18,0.02140884,0.011089178,-0.00388376,1027.421301,1011.536714,993.4487956
11/8/18,-0.001814882,0.002876244,-0.0030346,1025.556652,1014.446141,990.4340761
11/9/18,-0.009768271,0.001348838,-0.002978413,1015.538737,1015.814464,987.4841545
11/12/18,-0.018685196,-0.001334499,-0.003459892,996.563197,1014.45886,984.0675656
11/13/18,-0.001871079,-0.003051529,0.017733932,994.6985485,1011.363209,1001.518953
11/14/18,-0.006836727,-0.000605852,-0.002300512,987.8980659,1010.750473,999.2149466
11/15/18,0.010436714,0.023485123,0.010730895,998.208475,1034.488072,1009.937417
11/16/18,0.002600542,-0.006446227,0.006415022,1000.804358,1027.819528,1016.416188
11/19/18,-0.016914478,-0.017893297,0.003617315,983.8762751,1009.428448,1020.092885
11/20/18,-0.018506132,-0.009897066,0.003209637,965.6685313,999.4380678,1023.367013
11/21/18,0.003407542,0.000200328,-0.02106471,968.9590874,999.6382834,1001.810084
11/22/18,0,1.65489E-06,0.009279416,968.9590874,999.6399377,1011.106297
11/23/18,-0.006678741,-0.010950375,0.007139044,962.4876604,988.6935051,1018.324629
11/26/18,0.016144349,0.047939994,0.000131195,978.0263976,1036.091466,1018.458229
11/27/18,0.003364486,0.003727724,0.000151789,981.3169537,1039.953728,1018.612819
11/28/18,0.023025335,0.004281322,-0.004286068,1003.912106,1044.406105,1014.246976
11/29/18,-0.002185156,-0.001531947,0.003663615,1001.718402,1042.80613,1017.962786
11/30/18,0.006095335,0.002358673,0.004379505,1007.824211,1045.265769,1022.420959
12/3/18,0.013241429,0.004242454,0.002010704,1021.169244,1049.700261,1024.476745
12/4/18,-0.032402435,-0.004658232,0.022221162,988.0808746,1044.810514,1047.241809
12/5/18,0,3.64701E-05,-0.010091941,988.0808746,1044.848618,1036.673107
12/6/18,-0.001517114,0.001938338,-0.005531229,986.5818435,1046.873888,1030.939031
12/7/18,-0.023235992,-0.00096985,-0.003693106,963.6576359,1045.858577,1027.131664
12/10/18,0.001897029,0.00098159,-0.000212066,965.4857227,1046.885181,1026.913845
12/11/18,0.000227212,-0.000152796,0.019577825,965.7050931,1046.725222,1047.018584
12/12/18,0.005035399,0.000190249,0.013886765,970.5678038,1046.92436,1061.558285
12/13/18,-0.000339034,0.000494153,0.000295911,970.2387481,1047.441701,1061.872412
12/14/18,-0.018464785,-0.000537386,-0.007318832,952.3234982,1046.87882,1054.100746
12/17/18,-0.019618382,-0.001000492,-0.004562707,933.6404519,1045.831426,1049.291192
12/18/18,-0.001096491,0.00591979,-0.000460977,932.6167233,1052.022527,1048.807493
12/19/18,-0.014975694,-0.0152195,0.002766478,918.6501408,1036.01127,1051.708996
12/20/18,-0.016277959,-0.005804295,-0.002595697,903.6963914,1029.997956,1048.979078
12/21/18,-0.020368859,-0.011326875,0.003573224,885.2891265,1018.331298,1052.727316
12/24/18,-0.026422933,-0.004024208,0.013942651,861.8971912,1014.233321,1067.405126
12/25/18,0,2.33014E-06,-0.001410112,861.8971912,1014.235684,1065.899965
12/26/18,0.050524878,0.013850732,0.001676442,905.4444419,1028.283591,1067.686884
12/27/18,0.007677309,-0.006151377,0.004302317,912.395819,1021.95823,1072.280412
12/28/18,-0.001289958,-0.004731941,0.008453878,911.2188662,1017.122385,1081.34534
12/31/18,0.008758829,0.001418166,0.015399402,919.2000769,1018.564833,1097.997411
1/2/19,0.001040333,0.007139044,9.37E-07,920.156351,1025.836413,1097.99844
1/3/19,-0.023862819,-0.004629736,-0.013310688,898.1988267,1021.087061,1083.383325
1/4/19,0.033495762,0.008236019,0.010756903,928.2846807,1029.496754,1095.037174
1/7/19,0.007884623,0.016640257,-0.012788195,935.6038555,1046.627845,1081.033625
1/8/19,0.009395393,0.000304071,-0.006801714,944.3942211,1046.946094,1073.680743
1/9/19,0.004673443,-0.000431501,-0.002149086,948.8077938,1046.494336,1071.373311
1/10/19,0.003527542,-0.000919995,0.001222761,952.1547531,1045.531567,1072.683344
1/11/19,0.000386279,0.000156215,0.011053115,952.5225509,1045.694895,1084.539836
1/14/19,-0.006100857,0.002075642,0.002189007,946.7113468,1047.865383,1086.913901
1/15/19,0.011460761,-0.000807542,0.022968571,957.5613797,1047.019188,1111.87876
1/16/19,0.002419819,-0.001309381,0.000724241,959.8785054,1045.648241,1112.684028
1/17/19,0.007586788,-0.000313154,0.018603361,967.1609004,1045.320792,1133.383691
1/18/19,0.013310009,0.00226887,0.018603361,980.0338208,1047.692489,1154.468437
1/21/19,0,-9.91423E-05,-5.12E-06,980.0338208,1047.588618,1154.46253
1/22/19,-0.013510471,-0.003411879,-0.003263557,966.7931026,1044.014372,1150.694876
1/23/19,0.002092369,-0.000858605,0.022221162,968.8159901,1043.117977,1176.264654
1/24/19,0.000531491,0.002317101,-0.006210097,969.3309069,1045.534987,1168.959936
1/25/19,0.008461393,0.00216952,2.64E-05,977.5327962,1047.803295,1168.990739
1/28/19,-0.007600271,-0.003405102,0.009296638,970.1032822,1044.235419,1179.858423
1/29/19,-0.001326964,-6.22589E-05,-0.004138597,968.8159901,1044.170406,1174.975465
1/30/19,0.015830834,0.003689311,-0.00375567,984.1531553,1048.022675,1170.562645
1/31/19,0.00878242,0.006637601,-0.012788195,992.7964019,1054.979032,1155.593262
2/1/19,0.000481606,-0.001318289,-0.010098446,993.2745389,1053.588264,1143.923566
2/4/19,0.007035474,0.003588837,0.002741568,1000.262696,1057.369421,1147.059711
2/5/19,0.004191793,0.003191599,0.003723684,1004.45559,1060.744119,1151.330998
2/6/19,-0.001318198,-0.0019947,-0.007641628,1003.131518,1058.628253,1142.532954
2/7/19,-0.009532888,-0.009326643,0.017777934,993.5687771,1048.754805,1162.84483
2/8/19,0.001221589,0.007054987,0.01094929,994.7825096,1056.153757,1175.577155
2/11/19,0.00055459,0.002013721,0.005903382,995.3342062,1058.280556,1182.517037
