Date,SPY,HoldTrades,ETF_Hedge,original,optimized,altETF,spyReturn,holdTradesReturn,etf_HedgeReturn,originalReturn,optimizedReturn,altEtfReturn
1/3/12,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0
1/4/12,1001.568387,1001.160296,996.9462931,1002.725559,1011.227235,1000.635988,0.0015684,0.0011603,-0.0030537,0.002725559,0.011227235,0.000635988
1/5/12,1004.235038,1002.235208,997.5965859,1007.047304,1024.223015,1001.780771,0.0026625,0.0010737,0.0006523,0.004309998,0.012851494,0.001144055
1/6/12,1001.646809,1000.069166,998.6459665,1010.051573,1040.22095,1000.665498,-0.0025773,-0.0021612,0.0010519,0.002983245,0.015619581,-0.001113291
1/9/12,1004.078185,1000.723017,999.0829117,1011.294445,1041.680706,1002.033844,0.0024274,0.0006538,0.0004375,0.001230503,0.001403314,0.001367437
1/10/12,1012.784123,999.9154698,1001.139737,1013.542931,1040.609019,1006.20325,0.0086706,-0.000807,0.0020587,0.002223374,-0.001028805,0.004160942
1/11/12,1013.333255,999.9715818,1005.682895,1015.420449,1042.974763,1007.039561,0.0005422,0.0000561,0.004538,0.001852431,0.002273422,0.000831155
1/12/12,1015.76448,1002.104959,1006.726891,1018.988584,1051.824501,1009.981336,0.0023992,0.0021334,0.0010381,0.003513948,0.008485093,0.002921211
1/13/12,1010.509609,998.9637683,1007.275371,1018.191384,1056.698366,1007.578596,-0.0051733,-0.0031346,0.0005448,-0.000782344,0.004633724,-0.002378994
1/17/12,1014.431159,1001.689984,1011.050011,1020.804485,1056.601633,1010.520715,0.0038808,0.002729,0.0037474,0.002566414,-9.15E-05,0.00291999
1/18/12,1025.646962,1002.002766,1010.802023,1020.859952,1045.078488,1019.431594,0.0110562,0.0003123,-0.0002453,5.4336E-05,-0.010905856,0.008818106
1/19/12,1031.058837,1005.56904,1009.145043,1019.904425,1033.645008,1023.211813,0.0052765,0.0035591,-0.0016393,-0.000936002,-0.010940308,0.003708164
1/20/12,1034.901748,1005.629611,1006.609447,1017.950123,1024.404896,1024.831521,0.0037271,0.0000602,-0.0025126,-0.001916162,-0.008939348,0.001582965
1/23/12,1032.234879,1004.863233,1003.36662,1017.380852,1028.833983,1022.483501,-0.0025769,-0.0007621,-0.0032215,-0.000559232,0.00432357,-0.002291128
1/24/12,1031.058837,1004.76962,1003.558649,1018.611368,1034.882574,1021.346812,-0.0011393,-0.0000932,0.0001914,0.001209494,0.005879074,-0.001111694
1/25/12,1039.685984,1008.428169,1006.771239,1022.39222,1034.507311,1026.302965,0.0083673,0.0036412,0.0032012,0.003711772,-0.000362614,0.004852566
1/26/12,1034.352833,1007.130377,1009.066851,1020.30435,1030.335901,1022.468241,-0.0051296,-0.0012869,0.0022802,-0.002042142,-0.004032267,-0.003736444
1/27/12,1033.882057,1006.898084,1009.893141,1021.281519,1034.145766,1022.302831,-0.0004551,-0.0002306,0.0008189,0.000957723,0.003697692,-0.000161775
1/30/12,1030.352928,1006.071407,1012.430507,1021.574582,1037.113581,1020.865563,-0.0034135,-0.000821,0.0025125,0.000286956,0.002869823,-0.001405913
1/31/12,1029.960867,1006.071407,1016.200284,1023.492554,1041.435093,1021.215126,-0.0003805,0,0.0037235,0.001877466,0.004166865,0.000342419
2/1/12,1038.980293,1012.413044,1017.421765,1024.247843,1027.572875,1025.227098,0.0087571,0.0063034,0.001202,0.000737953,-0.013310688,0.003928625
2/2/12,1040.627471,1012.624417,1017.887949,1027.68286,1039.043041,1026.157827,0.0015854,0.0002088,0.0004582,0.003353697,0.011162387,0.000907828
2/3/12,1055.215483,1020.896169,1018.124663,1038.585734,1059.841596,1041.714773,0.0140185,0.0081686,0.0002326,0.010609182,0.020017028,0.015160383
2/6/12,1054.50964,1020.305992,1021.078899,1041.264852,1069.023776,1041.63487,-0.0006689,-0.0005781,0.0029016,0.002579582,0.008663729,-7.67032E-05
2/7/12,1057.176149,1021.892056,1018.247566,1042.319619,1071.954578,1042.486069,0.0025287,0.0015545,-0.0027729,0.001012967,0.002741568,0.000817175
2/8/12,1060.313501,1021.894603,1019.51844,1043.471672,1072.171984,1043.965683,0.0029677,0.0000025,0.0012481,0.001105278,0.000202812,0.001419313
2/9/12,1061.647049,1021.855555,1017.391926,1044.173858,1075.986804,1044.471365,0.0012577,-0.0000382,-0.0020858,0.000672933,0.003558031,0.000484386
2/10/12,1053.803655,1020.600347,1018.874587,1041.527553,1072.782072,1041.803855,-0.0073879,-0.0012284,0.0014573,-0.002534353,-0.002978413,-0.002553933
2/13/12,1061.647049,1025.963423,1023.622317,1046.087807,1072.949657,1046.482379,0.0074429,0.0052548,0.0046598,0.004378429,0.000156215,0.004490792
2/14/12,1060.313501,1025.896085,1024.977204,1046.247658,1073.603442,1045.933615,-0.0012561,-0.0000656,0.0013236,0.000152809,0.000609334,-0.000524389
2/15/12,1055.37226,1025.056006,1022.496184,1044.370831,1074.380989,1042.294697,-0.0046602,-0.0008189,-0.0024206,-0.001793865,0.000724241,-0.00347911
2/16/12,1067.058413,1034.551765,1026.702074,1053.556306,1085.910058,1054.214307,0.011073,0.0092636,0.0041134,0.008795224,0.010730895,0.011435931
2/17/12,1069.882277,1036.115466,1028.037032,1055.70607,1088.846177,1056.796003,0.0026464,0.0015115,0.0013002,0.002040483,0.002703832,0.002448928
